# table for coexisting phases in IAPWS95
nbin_coex    800
temperature_coex_min    2.731600e+02
temperature_coex_max    6.470900e+02
# temperature (degK)    pressure (Pa)    mden_vap (kg / m^3)    mden_liq (kg / m^3)    enthalpy_vap (J / kg)    enthalpy_liq (J / kg)    entropy_vap (J / kg / degK)    entropy_liq (J / kg / degK)
    3.38130337e+02    2.50195821e+04    1.61325277e-01    9.80527994e+02    2.61747071e+06    2.72033652e+05    7.82989686e+03    8.93408739e+02
    3.38597750e+02    2.55473800e+04    1.64515123e-01    9.80273692e+02    2.61827734e+06    2.73991425e+05    7.82270614e+03    8.99193146e+02
    3.39065163e+02    2.60845921e+04    1.67757453e-01    9.80018164e+02    2.61908328e+06    2.75949318e+05    7.81554115e+03    9.04969898e+02
    3.39532575e+02    2.66313530e+04    1.71052942e-01    9.79761417e+02    2.61988852e+06    2.77907333e+05    7.80840177e+03    9.10739020e+02
    3.39999988e+02    2.71877979e+04    1.74402266e-01    9.79503455e+02    2.62069306e+06    2.79865470e+05    7.80128786e+03    9.16500539e+02
    3.40467400e+02    2.77540642e+04    1.77806110e-01    9.79244283e+02    2.62149690e+06    2.81823732e+05    7.79419928e+03    9.22254478e+02
    3.40934813e+02    2.83302899e+04    1.81265161e-01    9.78983906e+02    2.62230003e+06    2.83782121e+05    7.78713590e+03    9.28000865e+02
    3.41402225e+02    2.89166149e+04    1.84780116e-01    9.78722327e+02    2.62310244e+06    2.85740637e+05    7.78009760e+03    9.33739723e+02
    3.41869638e+02    2.95131802e+04    1.88351676e-01    9.78459553e+02    2.62390413e+06    2.87699283e+05    7.77308424e+03    9.39471077e+02
    3.42337050e+02    3.01201286e+04    1.91980548e-01    9.78195586e+02    2.62470509e+06    2.89658060e+05    7.76609568e+03    9.45194953e+02
    3.42804462e+02    3.07376037e+04    1.95667444e-01    9.77930433e+02    2.62550531e+06    2.91616970e+05    7.75913181e+03    9.50911376e+02
    3.43271875e+02    3.13657509e+04    1.99413082e-01    9.77664097e+02    2.62630479e+06    2.93576015e+05    7.75219249e+03    9.56620369e+02
    3.43739288e+02    3.20047169e+04    2.03218188e-01    9.77396582e+02    2.62710352e+06    2.95535196e+05    7.74527758e+03    9.62321958e+02
    3.44206700e+02    3.26546499e+04    2.07083492e-01    9.77127894e+02    2.62790150e+06    2.97494515e+05    7.73838698e+03    9.68016168e+02
    3.44674113e+02    3.33156995e+04    2.11009730e-01    9.76858035e+02    2.62869872e+06    2.99453974e+05    7.73152053e+03    9.73703022e+02
    3.45141525e+02    3.39880165e+04    2.14997646e-01    9.76587011e+02    2.62949517e+06    3.01413574e+05    7.72467813e+03    9.79382546e+02
    3.45608938e+02    3.46717534e+04    2.19047985e-01    9.76314826e+02    2.63029085e+06    3.03373317e+05    7.71785964e+03    9.85054763e+02
    3.46076350e+02    3.53670641e+04    2.23161504e-01    9.76041484e+02    2.63108575e+06    3.05333206e+05    7.71106494e+03    9.90719698e+02
    3.46543763e+02    3.60741039e+04    2.27338964e-01    9.75766988e+02    2.63187986e+06    3.07293240e+05    7.70429391e+03    9.96377375e+02
    3.47011175e+02    3.67930297e+04    2.31581130e-01    9.75491342e+02    2.63267319e+06    3.09253423e+05    7.69754641e+03    1.00202782e+03
    3.47478588e+02    3.75239995e+04    2.35888775e-01    9.75214552e+02    2.63346571e+06    3.11213756e+05    7.69082232e+03    1.00767105e+03
    3.47946000e+02    3.82671729e+04    2.40262677e-01    9.74936620e+02    2.63425743e+06    3.13174241e+05    7.68412153e+03    1.01330710e+03
    3.48413413e+02    3.90227114e+04    2.44703622e-01    9.74657550e+02    2.63504834e+06    3.15134880e+05    7.67744391e+03    1.01893599e+03
    3.48880825e+02    3.97907812e+04    2.49212426e-01    9.74377346e+02    2.63583843e+06    3.17095674e+05    7.67078929e+03    1.02455773e+03
    3.49348238e+02    4.05715388e+04    2.53789832e-01    9.74096012e+02    2.63662770e+06    3.19056625e+05    7.66415764e+03    1.03017237e+03
    3.49815650e+02    4.13651535e+04    2.58436671e-01    9.73813552e+02    2.63741614e+06    3.21017735e+05    7.65754881e+03    1.03577991e+03
    3.50283063e+02    4.21717928e+04    2.63153752e-01    9.73529969e+02    2.63820374e+06    3.22979006e+05    7.65096266e+03    1.04138038e+03
    3.50750475e+02    4.29916249e+04    2.67941891e-01    9.73245267e+02    2.63899049e+06    3.24940440e+05    7.64439907e+03    1.04697382e+03
    3.51217888e+02    4.38248198e+04    2.72801907e-01    9.72959449e+02    2.63977640e+06    3.26902038e+05    7.63785794e+03    1.05256023e+03
    3.51685300e+02    4.46715495e+04    2.77734631e-01    9.72672519e+02    2.64056145e+06    3.28863802e+05    7.63133914e+03    1.05813964e+03
    3.52152713e+02    4.55319865e+04    2.82740892e-01    9.72384480e+02    2.64134563e+06    3.30825735e+05    7.62484255e+03    1.06371208e+03
    3.52620125e+02    4.64063059e+04    2.87821534e-01    9.72095335e+02    2.64212895e+06    3.32787838e+05    7.61836805e+03    1.06927758e+03
    3.53087538e+02    4.72946839e+04    2.92977405e-01    9.71805089e+02    2.64291139e+06    3.34750112e+05    7.61191553e+03    1.07483614e+03
    3.53554950e+02    4.81972977e+04    2.98209352e-01    9.71513744e+02    2.64369294e+06    3.36712561e+05    7.60548488e+03    1.08038780e+03
    3.54022363e+02    4.91143268e+04    3.03518237e-01    9.71221304e+02    2.64447361e+06    3.38675185e+05    7.59907598e+03    1.08593258e+03
    3.54489775e+02    5.00459521e+04    3.08904926e-01    9.70927771e+02    2.64525337e+06    3.40637986e+05    7.59268871e+03    1.09147050e+03
    3.54957188e+02    5.09923554e+04    3.14370288e-01    9.70633149e+02    2.64603224e+06    3.42600968e+05    7.58632296e+03    1.09700159e+03
    3.55424600e+02    5.19537211e+04    3.19915204e-01    9.70337442e+02    2.64681019e+06    3.44564131e+05    7.57997861e+03    1.10252587e+03
    3.55892013e+02    5.29302340e+04    3.25540554e-01    9.70040652e+02    2.64758722e+06    3.46527477e+05    7.57365556e+03    1.10804335e+03
    3.56359425e+02    5.39220815e+04    3.31247232e-01    9.69742782e+02    2.64836333e+06    3.48491008e+05    7.56735368e+03    1.11355407e+03
    3.56826838e+02    5.49294520e+04    3.37036133e-01    9.69443835e+02    2.64913851e+06    3.50454727e+05    7.56107287e+03    1.11905805e+03
