# table for coexisting phases in IAPWS06
nbin_coex    300
temperature_coex_min    1.231600e+02
temperature_coex_max    2.731600e+02
# temperature (degK)    pressure (Pa)    mden_vap (kg / m^3)    mden_ice (kg / m^3)    enthalpy_vap (J / kg)    enthalpy_ice (J / kg)    entropy_vap (J / kg / degK)    entropy_ice (J / kg / degK)
    1.93660000e+02    5.95461203e-02    6.66231631e-07    9.26791993e+02    2.35406501e+06    -4.77159714e+05    1.27827299e+04    -1.83683384e+03
    1.94160000e+02    6.46073610e-02    7.20997846e-07    9.26740128e+02    2.35499043e+06    -4.76396823e+05    1.27498530e+04    -1.83289958e+03
    1.94660000e+02    7.00697460e-02    7.79947871e-07    9.26688092e+02    2.35591586e+06    -4.75632188e+05    1.27171552e+04    -1.82896648e+03
    1.95160000e+02    7.59627112e-02    8.43376364e-07    9.26635885e+02    2.35684130e+06    -4.74865810e+05    1.26846350e+04    -1.82503452e+03
    1.95660000e+02    8.23176725e-02    9.11596898e-07    9.26583509e+02    2.35776675e+06    -4.74097686e+05    1.26522911e+04    -1.82110369e+03
    1.96160000e+02    8.91681487e-02    9.84943074e-07    9.26530963e+02    2.35869221e+06    -4.73327817e+05    1.26201222e+04    -1.81717398e+03
    1.96660000e+02    9.65498883e-02    1.06376967e-06    9.26478249e+02    2.35961767e+06    -4.72556200e+05    1.25881269e+04    -1.81324538e+03
    1.97160000e+02    1.04501004e-01    1.14845385e-06    9.26425367e+02    2.36054314e+06    -4.71782836e+05    1.25563038e+04    -1.80931788e+03
    1.97660000e+02    1.13062113e-01    1.23939642e-06    9.26372316e+02    2.36146862e+06    -4.71007724e+05    1.25246518e+04    -1.80539147e+03
    1.98160000e+02    1.22276490e-01    1.33702317e-06    9.26319099e+02    2.36239411e+06    -4.70230861e+05    1.24931694e+04    -1.80146614e+03
    1.98660000e+02    1.32190218e-01    1.44178628e-06    9.26265715e+02    2.36331961e+06    -4.69452249e+05    1.24618553e+04    -1.79754187e+03
    1.99160000e+02    1.42852360e-01    1.55416577e-06    9.26212165e+02    2.36424511e+06    -4.68671884e+05    1.24307085e+04    -1.79361867e+03
    1.99660000e+02    1.54315128e-01    1.67467106e-06    9.26158449e+02    2.36517063e+06    -4.67889768e+05    1.23997274e+04    -1.78969652e+03
    2.00160000e+02    1.66634068e-01    1.80384254e-06    9.26104567e+02    2.36609615e+06    -4.67105898e+05    1.23689110e+04    -1.78577541e+03
    2.00660000e+02    1.79868251e-01    1.94225331e-06    9.26050521e+02    2.36702167e+06    -4.66320274e+05    1.23382580e+04    -1.78185532e+03
    2.01160000e+02    1.94080480e-01    2.09051093e-06    9.25996311e+02    2.36794721e+06    -4.65532895e+05    1.23077672e+04    -1.77793626e+03
    2.01660000e+02    2.09337494e-01    2.24925927e-06    9.25941938e+02    2.36887275e+06    -4.64743761e+05    1.22774372e+04    -1.77401821e+03
    2.02160000e+02    2.25710198e-01    2.41918046e-06    9.25887401e+02    2.36979830e+06    -4.63952869e+05    1.22472671e+04    -1.77010116e+03
    2.02660000e+02    2.43273895e-01    2.60099691e-06    9.25832701e+02    2.37072386e+06    -4.63160220e+05    1.22172555e+04    -1.76618510e+03
    2.03160000e+02    2.62108532e-01    2.79547348e-06    9.25777839e+02    2.37164942e+06    -4.62365812e+05    1.21874013e+04    -1.76227003e+03
    2.03660000e+02    2.82298958e-01    3.00341965e-06    9.25722815e+02    2.37257500e+06    -4.61569645e+05    1.21577034e+04    -1.75835592e+03
    2.04160000e+02    3.03935196e-01    3.22569188e-06    9.25667631e+02    2.37350058e+06    -4.60771717e+05    1.21281605e+04    -1.75444279e+03
    2.04660000e+02    3.27112724e-01    3.46319605e-06    9.25612285e+02    2.37442616e+06    -4.59972028e+05    1.20987716e+04    -1.75053061e+03
    2.05160000e+02    3.51932779e-01    3.71688998e-06    9.25556780e+02    2.37535176e+06    -4.59170577e+05    1.20695355e+04    -1.74661937e+03
    2.05660000e+02    3.78502662e-01    3.98778611e-06    9.25501114e+02    2.37627736e+06    -4.58367363e+05    1.20404511e+04    -1.74270908e+03
    2.06160000e+02    4.06936072e-01    4.27695427e-06    9.25445290e+02    2.37720296e+06    -4.57562386e+05    1.20115172e+04    -1.73879971e+03
    2.06660000e+02    4.37353440e-01    4.58552456e-06    9.25389306e+02    2.37812858e+06    -4.56755643e+05    1.19827329e+04    -1.73489126e+03
    2.07160000e+02    4.69882303e-01    4.91469046e-06    9.25333165e+02    2.37905420e+06    -4.55947135e+05    1.19540970e+04    -1.73098373e+03
    2.07660000e+02    5.04657661e-01    5.26571185e-06    9.25276866e+02    2.37997982e+06    -4.55136861e+05    1.19256084e+04    -1.72707710e+03
    2.08160000e+02    5.41822385e-01    5.63991844e-06    9.25220409e+02    2.38090545e+06    -4.54324820e+05    1.18972661e+04    -1.72317136e+03
    2.08660000e+02    5.81527622e-01    6.03871312e-06    9.25163796e+02    2.38183109e+06    -4.53511010e+05    1.18690690e+04    -1.71926651e+03
    2.09160000e+02    6.23933226e-01    6.46357558e-06    9.25107026e+02    2.38275673e+06    -4.52695431e+05    1.18410161e+04    -1.71536254e+03
    2.09660000e+02    6.69208210e-01    6.91606606e-06    9.25050101e+02    2.38368238e+06    -4.51878083e+05    1.18131063e+04    -1.71145944e+03
    2.10160000e+02    7.17531217e-01    7.39782922e-06    9.24993020e+02    2.38460804e+06    -4.51058964e+05    1.17853387e+04    -1.70755720e+03
